date,spy_adj_close,aapl_adj_close
2020-01-02,321.555786132812,298.829956054687
2020-01-03,319.120910644531,295.924713134766
2020-01-06,320.33837890625,298.28271484375
2020-01-07,319.437652587891,296.8798828125
2020-01-08,321.140106201172,301.655548095703
2020-01-09,323.317626953125,308.06298828125
2020-01-10,322.38720703125,308.759399414062
2020-01-13,324.604400634766,315.355865478516
2020-01-14,324.109497070312,311.097534179687
2020-01-15,324.841918945312,309.764312744141
2020-01-16,327.544097900391,313.644561767578
2020-01-17,328.563598632812,317.116943359375
2020-01-21,327.920227050781,314.967864990234
2020-01-22,327.959808349609,316.092163085937
2020-01-23,328.3359375,317.614410400391
2020-01-24,325.416015625,316.699035644531
2020-01-27,320.199798583984,307.386413574219
2020-01-28,323.555206298828,316.082183837891
2020-01-29,323.287933349609,322.698516845703
2020-01-30,324.337127685547,322.230895996094
2020-01-31,318.447845458984,307.943603515625
2020-02-03,320.813446044922,307.097900390625
2020-02-04,325.703063964844,317.236297607422
2020-02-05,329.464294433594,319.823181152344
2020-02-06,330.572875976562,323.564117431641
2020-02-07,328.81103515625,319.166015625
2020-02-10,331.265716552734,320.681915283203
2020-02-11,331.839813232422,318.747131347656
2020-02-12,333.977783203125,326.316680908203
2020-02-13,333.621429443359,323.992950439453
2020-02-14,334.155944824219,324.07275390625
2020-02-18,333.294799804687,318.138793945312
2020-02-19,334.888397216797,322.746337890625
2020-02-20,333.512573242187,319.435272216797
2020-02-21,330.077972412109,312.204864501953
2020-02-24,319.130828857422,297.375
2020-02-25,309.46044921875,287.302276611328
2020-02-26,308.322204589844,291.859924316406
2020-02-27,294.474914550781,272.781585693359
2020-02-28,293.237701416016,272.622009277344
2020-03-02,305.936767578125,298.003295898437
2020-03-03,297.177062988281,288.538940429688
2020-03-04,309.668304443359,301.922698974609
2020-03-05,299.374420166016,292.129211425781
2020-03-06,294.425415039063,288.249725341797
2020-03-09,271.432434082031,265.451446533203
2020-03-10,285.477691650391,284.569671630859
2020-03-11,271.561065673828,274.686431884766
2020-03-12,245.578887939453,247.559860229492
2020-03-13,266.572509765625,277.219573974609
2020-03-16,237.40315246582,241.556121826172
2020-03-17,250.221038818359,252.177368164062
2020-03-18,237.551620483398,246.00407409668
2020-03-19,238.056396484375,244.119171142578
2020-03-20,227.797561645508,228.621139526367
2020-03-23,221.973190307617,223.764266967773
2020-03-24,242.084686279297,246.213516235352
2020-03-25,245.708724975586,244.857177734375
2020-03-26,260.055603027344,257.742309570312
2020-03-27,252.309692382812,247.071182250977
2020-03-30,260.503631591797,254.122100830078
2020-03-31,256.620727539062,253.603500366211
2020-04-01,245.071533203125,240.259628295898
2020-04-02,250.726654052734,244.268768310547
2020-04-03,247.102615356445,240.758270263672
2020-04-06,263.699554443359,261.761413574219
2020-04-07,263.968383789062,258.729614257813
2020-04-08,272.829376220703,265.351715087891
2020-04-09,276.981140136719,267.266510009766
2020-04-13,274.452239990234,272.512329101562
2020-04-14,282.546630859375,286.275054931641
2020-04-15,276.543060302734,283.662139892578
2020-04-16,277.877197265625,285.916046142578
2020-04-17,285.384155273437,282.036529541016
2020-04-20,280.356262207031,276.182373046875
2020-04-21,271.84375,267.645477294922
2020-04-22,277.877197265625,275.354614257812
2020-04-23,277.857238769531,274.287506103516
2020-04-24,281.730224609375,282.206085205078
2020-04-27,285.792327880859,282.405548095703
2020-04-28,284.478149414062,277.827911376953
2020-04-29,291.925354003906,286.953247070312
2020-04-30,289.207336425781,293.0068359375
2020-05-01,281.551025390625,288.289611816406
2020-05-04,282.327606201172,292.368560791016
2020-05-05,284.936126708984,296.756683349609
2020-05-06,283.004608154297,299.818389892578
2020-05-07,286.419586181641,302.919982910156
2020-05-08,291.158721923828,310.130004882812
2020-05-11,291.218475341797,315.010009765625
2020-05-12,285.414031982422,311.410003662109
2020-05-13,280.366241455078,307.649993896484
2020-05-14,283.721466064453,309.540008544922
2020-05-15,285.025726318359,307.709991455078
2020-05-18,293.70751953125,314.959991455078
2020-05-19,290.690795898437,313.140014648437
2020-05-20,295.629058837891,319.230010986328
2020-05-21,293.588043212891,316.850006103516
2020-05-22,294.145599365234,318.890014648438
2020-05-26,297.769622802734,316.730010986328
2020-05-27,302.200134277344,318.109985351562
2020-05-28,301.642608642578,318.25
2020-05-29,302.986694335937,317.940002441406
2020-06-01,304.211273193359,321.850006103516
2020-06-02,306.730194091797,323.339996337891
2020-06-03,310.812225341797,325.119995117188
2020-06-04,309.995819091797,322.320007324219
2020-06-05,317.940887451172,331.5
2020-06-08,321.783966064453,333.459991455078
2020-06-09,319.384521484375,343.989990234375
2020-06-10,317.602355957031,352.839996337891
2020-06-11,299.292938232422,335.899993896484
2020-06-12,302.877166748047,338.799987792969
2020-06-15,305.704711914063,342.989990234375
2020-06-16,311.588806152344,352.079986572266
2020-06-17,310.294525146484,351.589996337891
2020-06-18,310.414001464844,351.730010986328
2020-06-19,308.640014648437,349.720001220703
2020-06-22,310.619995117188,358.869995117188
2020-06-23,312.049987792969,366.529998779297
2020-06-24,304.089996337891,360.059997558594
2020-06-25,307.350006103516,364.839996337891
2020-06-26,300.049987792969,353.630004882812
2020-06-29,304.459991455078,361.779998779297
2020-06-30,308.359985351562,364.799987792969
2020-07-01,310.519989013672,364.109985351562
2020-07-02,312.230010986328,364.109985351562
2020-07-06,317.049987792969,373.850006103516
2020-07-07,313.779998779297,372.690002441406
2020-07-08,316.179992675781,381.369995117188
2020-07-09,314.380004882812,383.010009765625
2020-07-10,317.589996337891,383.679992675781
2020-07-13,314.839996337891,381.910003662109
2020-07-14,318.920013427734,388.230010986328
2020-07-15,321.850006103516,390.899993896484
